SiteName,Year,Month,Time,Salinity,Latitude,Longitude,Grid.Lat,Grid.Long,Unique,Depth,Flow,PREC,AMO,NAO,ACE,AMO6,NAO6,FLOW6,PREC6
BAFFIN BAY AT CM 14,1976,1,1976_1,24,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,23000,14.3,-0.387,0.7,76.1,-0.3225,0.316666667,501000,79.18333333
BAFFIN BAY AT CM 14,1976,4,1976_4,40,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,185000,139.3,-0.429,0.4,76.1,-0.403833333,0.866666667,300000,34.98333333
BAFFIN BAY AT CM 14,1976,7,1976_7,158,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,335000,309.5,-0.309,-3,84.2,-0.442333333,0.7,664000,110.7
BAFFIN BAY AT CM 14,1976,10,1976_10,52,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,206000,183.2,-0.295,1.6,84.2,-0.327,-0.883333333,1000000,135.8666667
BAFFIN BAY AT CM 14,1977,9,1977_9,14,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,64460,66.1,-0.234,-0.9,25.3,-0.164833333,-0.366666667,363950,43.41666667
BAFFIN BAY AT CM 14,1978,9,1978_9,58,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,131783,223.4,-0.192,0.2,63.2,-0.2395,-0.566666667,346249,100.6
BAFFIN BAY AT CM 14,1979,2,1979_2,55,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,23296,21.6,-0.153,-1,63.2,-0.1755,-0.666666667,537907,106.2833333
BAFFIN BAY AT CM 14,1979,5,1979_5,17,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,52894,138.9,-0.119,-0.1,63.2,-0.1865,-1.183333333,257330,98.03333333
BAFFIN BAY AT CM 14,1979,8,1979_8,77,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,65703,116.7,-0.117,0,92.9,-0.140666667,0.116666667,354353,157.8833333
BAFFIN BAY AT CM 14,1979,11,1979_11,30,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,30248,10.9,-0.086,1.3,92.9,-0.090333333,0.5,416245,164.4666667
BAFFIN BAY AT CM 14,1980,2,1980_2,47,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,22816,25.5,-0.079,0.5,92.9,-0.0715,0.333333333,310725,83.28333333
BAFFIN BAY AT CM 14,1980,5,1980_5,88,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,64270,73.7,0.128,-2.1,92.9,-0.026166667,-0.366666667,201681,29.68333333
BAFFIN BAY AT CM 14,1980,8,1980_8,19,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,1073517,221.5,0.022,-2.1,148.9,0.0275,-0.783333333,1232078,61.48333333
BAFFIN BAY AT CM 14,1980,11,1980_11,21,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,57809,108.9,-0.198,-2.7,148.9,-0.015,-0.8,1302008,79.83333333
BAFFIN BAY AT CM 14,1981,2,1981_2,60,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,22945,70.5,-0.177,1.2,148.9,-0.145666667,0.216666667,268309,56.45
BAFFIN BAY AT CM 14,1981,5,1981_5,57,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,188316,128,-0.08,0.1,148.9,-0.1285,0.25,384369,53.85
BAFFIN BAY AT CM 14,1981,8,1981_8,24,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,103438,120.7,-0.111,0.4,100.3,-0.071,-0.333333333,754552,77.5
BAFFIN BAY AT CM 14,1981,11,1981_11,13,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,43388,1,-0.133,-0.8,100.3,-0.101333333,-0.1,724546,101.05
BAFFIN BAY AT CM 14,1982,2,1982_2,16,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,181557,132,-0.075,1.7,100.3,-0.083666667,-0.333333333,521039,83.26666667
BAFFIN BAY AT CM 14,1982,8,1982_8,32,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,38441,36.9,-0.305,2.5,31.5,-0.192166667,0.266666667,728803,34.94
BAFFIN BAY AT CM 14,1982,11,1982_11,67,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,36253,49,-0.413,2.2,31.5,-0.299,0.416666667,492604,41.94
BAFFIN BAY AT CM 14,1983,2,1983_2,7,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,106645,90.2,-0.1,-1.1,31.5,-0.309,1.316666667,288325,53.86666667
BAFFIN BAY AT CM 14,1983,5,1983_5,111,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,48484,15.5,-0.044,-0.4,31.5,-0.111,0.75,326422,43
BAFFIN BAY AT CM 14,1983,8,1983_8,39,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,42277,25.3,-0.154,1.4,17.4,-0.0185,0.316666667,529488,66.02
BAFFIN BAY AT CM 14,1983,9,1983_9,43,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,63881,223.6,-0.212,-1.9,17.4,-0.068,-0.333333333,530342,102.36
BAFFIN BAY AT CM 14,1984,3,1984_3,15,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,32310,8.9,-0.121,-1.9,17.4,-0.108833333,0.3,257851,45.11666667
BAFFIN BAY AT CM 14,1984,6,1984_6,89,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,32034,3.9,-0.321,0.3,17.4,-0.157333333,0.666666667,253793,29.83333333
BAFFIN BAY LAGUNA DE LOS OLMOS APPROXIMATELY 0.8 KM WEST OF THE OLD NAVAL AIRFIELD,1984,8,1984_8,67,27.270277,-97.733612,27.3,-97.7,27.3_-97.7,0.3,22972,30.3,-0.222,0.5,84.3,-0.206833333,-0.366666667,206600,24.31666667
BAFFIN BAY LAGUNA SALADA 1 MI EAST OF THE OLD NAVAL AIRFIELD OFF WILLIAMSONS POINT,1984,8,1984_8,90,27.271944,-97.710281,27.3,-97.7,27.3_-97.7,0.3,22972,30.3,-0.222,0.5,84.3,-0.206833333,-0.366666667,206600,24.31666667
BAFFIN BAY AT CM 14,1984,8,1984_8,92,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,22972,30.3,-0.222,0.5,84.3,-0.206833333,-0.366666667,206600,24.31666667
BAFFIN BAY AT CM 14,1984,10,1984_10,69,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,75657,39.3,-0.34,1.3,84.3,-0.252,0.4,565736,37.43333333
BAFFIN BAY AT CM 14,1985,1,1985_1,31,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,39025,123.3,-0.351,-2.7,84.3,-0.308666667,0.216666667,549529,51.98333333
BAFFIN BAY AT CM 14,1985,5,1985_5,109,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,143422,80.3,-0.334,-0.9,84.3,-0.345833333,-0.466666667,320888,93.82
BAFFIN BAY AT CM 14,1985,7,1985_7,30,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,36311,62.5,-0.149,0.3,88,-0.2805,-0.533333333,379189,85.76
BAFFIN BAY AT CM 14,1985,11,1985_11,31,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,31699,38.6,-0.292,-2.4,88,-0.2215,-0.816666667,507598,82.5
BAFFIN BAY AT CM 14,1986,2,1986_2,17,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,28163,21.2,-0.272,-2.7,88,-0.287166667,-1,438669,65.38333333
BAFFIN BAY AT CM 14,1986,5,1986_5,28,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,47972,75.6,-0.225,2.4,88,-0.296666667,0.8,171872,30.95
BAFFIN BAY AT CM 14,1986,8,1986_8,10,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,26446,83.1,-0.269,-3.7,35.8,-0.267833333,0.633333333,214222,45.63333333
BAFFIN BAY AT CM 14,1986,11,1986_11,105,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,101054,52.6,-0.394,3.3,35.8,-0.282833333,0.183333333,287696,76.18333333
BAFFIN BAY AT CM 14,1987,2,1987_2,24,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,49451,149.5,-0.214,-0.7,35.8,-0.296833333,0.216666667,296546,96.4
BAFFIN BAY AT CM 14,1987,5,1987_5,34,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,57875,54,0.071,-1.8,35.8,-0.130166667,-0.6,238873,62.35
BAFFIN BAY AT CM 14,1987,8,1987_8,8,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,24612,94.7,0.283,-3.3,34.4,0.141166667,-0.95,318069,54.25
BAFFIN BAY AT CM 14,1987,11,1987_11,18,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,47253,45.3,-0.067,0.1,34.4,0.158666667,-0.65,376202,87.33333333
BAFFIN BAY AT CM 14,1988,2,1988_2,16,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,27939,39.5,-0.113,0.3,34.4,0.012333333,-0.066666667,272549,60.93333333
BAFFIN BAY AT CM 14,1988,4,1988_4,107,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,20165,14.5,0.053,-2.4,34.4,-0.021333333,-0.383333333,199085,28.58333333
BAFFIN BAY AT CM 14,1988,8,1988_8,36,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,21345,38.3,-0.008,1.5,103,0.0755,0.1,156260,52.83333333
BAFFIN BAY AT CM 14,1988,10,1988_10,35,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,58515,49.3,-0.171,-1.6,103,0.023666667,0.183333333,447546,74.53333333
BAFFIN BAY AT CM 14,1989,2,1989_2,40,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,20563,2.4,-0.156,3.2,103,-0.159,0.483333333,437431,43.75
BAFFIN BAY AT CM 14,1989,4,1989_4,27,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,37003,67.4,-0.29,0.8,103,-0.205166667,1.316666667,160897,27.48333333
BAFFIN BAY AT CM 14,1989,8,1989_8,95,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,21399,22.8,0.113,2.4,135.1,-0.0515,0.816666667,181961,35.38333333
BAFFIN BAY AT CM 14,1989,10,1989_10,65,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,25327,15.8,-0.124,0.9,135.1,0.0025,0.233333333,170829,27.15
BAFFIN BAY AT CM 14,1990,2,1990_2,97,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,37942,146.9,-0.162,3.2,135.1,-0.163833333,0.316666667,150688,53.01666667
BAFFIN BAY AT CM 14,1990,4,1990_4,336,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,37761,41.4,-0.118,3.1,135.1,-0.176833333,1.133333333,171067,63.33333333
BAFFIN BAY AT CM 14,1990,8,1990_8,104,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,19161,5.6,0.052,0.9,96.8,-0.063833333,0.866666667,193765,32.51666667
BAFFIN BAY AT CM 14,1990,10,1990_10,44,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,20907,75.7,0.112,0.5,96.8,0.028666667,-0.066666667,193518,36.78333333
BAFFIN BAY AT CM 14,1991,1,1991_1,20,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,25829,57.1,-0.196,0.7,96.8,0.003833333,0.233333333,152412,33.1
BAFFIN BAY AT CM 14,1991,4,1991_4,28,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,287456,95.8,-0.134,1.1,96.8,-0.1015,0.366666667,426544,48.38333333
BAFFIN BAY AT CM 14,1991,7,1991_7,34,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,63844,52.1,-0.109,-1.4,35.5,-0.1195,0.033333333,602186,97.23333333
BAFFIN BAY AT CM 14,1991,11,1991_11,66,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,60032,10,-0.263,1.6,35.5,-0.152666667,0.016666667,360981,106.75
BAFFIN BAY AT CM 14,1992,1,1992_1,55,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,61466,163.9,-0.192,-1,35.5,-0.1805,0.266666667,440631,118.5833333
BAFFIN BAY AT CM 14,1992,4,1992_4,7,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,112509,85.5,-0.186,1.8,35.5,-0.174333333,1.1,531112,105.75
BAFFIN BAY AT CM 14,1992,7,1992_7,64,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,37733,13.2,-0.221,-0.2,76.2,-0.162333333,0.95,639239,112.1
BAFFIN BAY AT CM 14,1992,10,1992_10,37,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,31184,101.6,-0.302,-1.2,76.2,-0.275833333,0.083333333,559994,91.45
BAFFIN BAY AT CM 14,1993,1,1993_1,62,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,26085,17.4,-0.242,2.1,76.2,-0.3205,1.016666667,273556,44.15
BAFFIN BAY AT CM 14,1993,5,1993_5,13,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,125200,279.3,-0.166,-3.6,76.2,-0.217833333,0.45,310472,119.95
BAFFIN BAY AT CM 14,1993,8,1993_8,19,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,31925,17.8,-0.231,-0.2,38.7,-0.214,-0.266666667,619661,150.94
BAFFIN BAY AT CM 14,1993,10,1993_10,12,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,58514,77.5,-0.246,-0.7,38.7,-0.212333333,-1.266666667,612721,135.32
BAFFIN BAY AT CM 14,1994,2,1994_2,33,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,22339,28.1,-0.312,-0.4,38.7,-0.2735,0.566666667,245213,55.78333333
BAFFIN BAY AT CM 14,1994,4,1994_4,22,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,29449,63.7,-0.203,1.1,38.7,-0.2855,2.033333333,251693,59.51666667
BAFFIN BAY AT CM 14,1994,6,1994_6,39,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,54016,112.5,-0.225,2.1,38.7,-0.255166667,1.45,249841,68.88333333
BAFFIN BAY AT CM 14,1994,11,1994_11,102,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,21644,3.8,-0.023,0.2,32,-0.156666667,0.116666667,358718,71.58333333
BAFFIN BAY AT CM 14,1994,12,1994_12,159,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,40948,114.4,-0.094,1.6,32,-0.134833333,0.033333333,345650,71.9
BAFFIN BAY AT CM 14,1995,4,1995_4,67,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,30736,23.2,0.072,-1.9,32,-0.0235,0.9,187186,66.21666667
BAFFIN BAY AT CM 14,1995,7,1995_7,68,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,32781,8.4,0.31,-1.4,227.1,0.163333333,-0.35,271968,65.1
BAFFIN BAY AT CM 14,1995,11,1995_11,36,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,150523,62.7,0.123,-3,227.1,0.186666667,-1.166666667,574143,86.46666667
BAFFIN BAY AT CM 14,1996,2,1996_2,144,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,21875,2.6,-0.036,0.9,227.1,0.043166667,-1.233333333,477403,50.05
BAFFIN BAY AT CM 14,1996,4,1996_4,110,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,23150,27.1,0.005,-1,227.1,0.009166667,-1.883333333,282764,16.86666667
BAFFIN BAY AT CM 14,1996,7,1996_7,164,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,13381,NA,-0.109,1.2,166.2,-0.066333333,-0.433333333,138999,13.44
BAFFIN BAY AT CM 14,1997,2,1997_2,58,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.304878,8270,39.2,-0.04,3.7,166.2,-0.1045,-0.05,225059,49.03333333
BAFFIN BAY AT CM 14,1997,8,1997_8,134,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,19698,59,0.011,0.7,40.9,0.0185,-0.633333333,508712,127.14
BAFFIN BAY AT CM 14,1997,11,1997_11,22,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,52787,63.1,0.047,0.1,40.9,0.0615,-0.766666667,654269,190.06
BAFFIN BAY AT CM 14,1998,2,1998_2,47,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,68942,36.4,0.287,0.7,40.9,0.139666667,-0.633333333,670557,143.2166667
BAFFIN BAY AT CM 14,1998,5,1998_5,47,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,21790,NA,0.379,-0.2,40.9,0.253833333,0.083333333,189798,34.42
BAFFIN BAY AT CM 14,1998,7,1998_7,41,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,16903,20.6,0.483,0.3,181.8,0.373,0.166666667,176131,30.42
BAFFIN BAY AT CM 14,1998,11,1998_11,1,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.304878,61591,165.7,0.313,0.9,181.8,0.429166667,0.116666667,621977,129.8
BAFFIN BAY AT CM 14,1998,11,1998_11,9,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,61591,165.7,0.313,0.9,181.8,0.429166667,0.116666667,621977,129.8
BAFFIN BAY AT CM 14,1999,2,1999_2,25,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.304878,22228,NA,0.053,2.2,181.8,0.2455,0.833333333,637395,NA
BAFFIN BAY AT CM 14,1999,5,1999_5,22,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.304878,51849,NA,0.158,0.4,181.8,0.1075,0.95,222095,NA
BAFFIN BAY AT CM 14,1999,7,1999_7,32,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,41204,NA,0.194,-1.8,176.5,0.115666667,0.366666667,243455,NA
BAFFIN BAY AT CM 14,1999,10,1999_10,21,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,105216,NA,0.013,0.4,176.5,0.170666667,-0.25,837308,NA
BAFFIN BAY AT CM 14,2000,2,2000_2,119,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,-18951.7,NA,-0.042,3.1,176.5,0.003333333,1.166666667,231503.5,NA
BAFFIN BAY AT CM 14,2000,4,2000_4,31,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,-7852.4,NA,0.038,-2.5,176.5,-0.006,0.6,1751.2,NA
BAFFIN BAY AT CM 14,2000,7,2000_7,153,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,-30571.5,NA,0.068,-2.9,119.1,0.040333333,-0.166666667,-29474.8,NA
BAFFIN BAY AT CM 14,2000,9,2000_9,30,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,-27665.7,NA,0.097,0.2,119.1,0.063333333,-0.65,-70663.8,NA
BAFFIN BAY AT CM 14,2000,12,2000_12,52,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,-29337.6,NA,-0.131,-2.2,119.1,0.005166667,0,-158363.4,NA
BAFFIN BAY AT CM 14,2001,5,2001_5,29,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,17926.3,51.8,-0.014,-1,119.1,-0.052333333,-0.65,54824.3,NA
